Region,Country,Item Type,Order Priority,Order Date,Ship Date,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Profit Margin per Product,Processing Time,Processing Time (days),Order Year,Sales Channel
Europe,Liechtenstein,Cereal,L,2010-01-01,2010-02-09,205.7,117.11,1574016.4,896125.72,677890.68,88.58999999999999,39 days,39,2010,Offline
Europe,Hungary,Baby Food,C,2010-01-01,2010-01-10,255.28,159.42,2391207.76,1493287.14,897920.62,95.86,9 days,9,2010,Online
Europe,Bulgaria,Snacks,L,2010-03-01,2010-03-23,152.58,97.44,64388.76,41119.68,23269.08,55.140000000000015,22 days,22,2010,Offline
Europe,Slovakia,Cosmetics,L,2010-03-01,2010-03-15,437.2,263.33,216851.2,130611.68,86239.52,173.87,14 days,14,2010,Online
Europe,Moldova ,Snacks,M,2010-05-01,2010-05-20,152.58,97.44,880691.76,562423.68,318268.08,55.140000000000015,19 days,19,2010,Offline
Europe,Belarus,Fruits,L,2010-08-01,2010-09-07,9.33,6.92,17596.38,13051.12,4545.26,2.41,37 days,37,2010,Online
Europe,Latvia,Baby Food,L,2010-09-01,2010-10-03,255.28,159.42,800558.08,499941.12,300616.96,95.86,32 days,32,2010,Offline
Europe,Poland,Clothes,M,2010-10-01,2010-10-15,109.28,35.84,298880.8,98022.4,200858.4,73.44,14 days,14,2010,Online
Europe,Bulgaria,Clothes,C,2010-03-02,2010-04-15,109.28,35.84,929317.12,304783.36,624533.76,73.44,44 days,44,2010,Offline
Europe,Slovakia,Office Supplies,M,2010-03-02,2010-03-19,651.21,524.96,1814922.27,1463063.52,351858.75,126.25,17 days,17,2010,Online
Europe,Kosovo,Fruits,L,2010-05-02,2010-06-06,9.33,6.92,63332.04,46972.96,16359.08,2.41,35 days,35,2010,Offline
Europe,Bosnia and Herzegovina,Office Supplies,C,2010-05-02,2010-05-08,651.21,524.96,1302.42,1049.92,252.5,126.25,6 days,6,2010,Online
Europe,Czech Republic,Beverages,M,2010-05-02,2010-05-03,47.45,31.79,84698.25,56745.15,27953.1,15.660000000000004,1 days,1,2010,Offline
Europe,Albania,Snacks,H,2010-12-02,2010-12-07,152.58,97.44,288528.78,184259.04,104269.74,55.140000000000015,5 days,5,2010,Online
Europe,Armenia,Clothes,L,2010-01-03,2010-02-22,109.28,35.84,34204.64,11217.92,22986.72,73.44,50 days,50,2010,Offline
Europe,Malta,Fruits,C,2010-02-03,2010-02-11,9.33,6.92,59236.17,43935.08,15301.09,2.41,8 days,8,2010,Online
Europe,Andorra,Snacks,M,2010-05-03,2010-05-19,152.58,97.44,556306.68,355266.24,201040.44,55.140000000000015,16 days,16,2010,Offline
Europe,United Kingdom,Clothes,L,2010-09-03,2010-10-01,109.28,35.84,977181.76,320481.28,656700.48,73.44,28 days,28,2010,Online
Europe,Belarus,Beverages,L,2010-10-03,2010-11-18,47.45,31.79,469660.1,314657.42,155002.68,15.660000000000004,46 days,46,2010,Offline
Europe,Netherlands,Beverages,C,2010-03-04,2010-03-20,47.45,31.79,146715.4,98294.68,48420.72,15.660000000000004,16 days,16,2010,Online
Europe,Bulgaria,Clothes,L,2010-05-04,2010-06-12,109.28,35.84,672399.84,220523.52,451876.32,73.44,39 days,39,2010,Offline
Europe,Czech Republic,Personal Care,M,2010-12-04,2010-12-08,81.73,56.67,190757.82,132267.78,58490.04,25.06,4 days,4,2010,Online
Europe,Spain,Cereal,H,2010-12-04,2010-12-07,205.7,117.11,1683860.2,958662.46,725197.74,88.58999999999999,3 days,3,2010,Offline
Europe,Andorra,Personal Care,C,2010-06-05,2010-06-25,81.73,56.67,361164.87,250424.73,110740.14,25.06,20 days,20,2010,Online
Europe,Belarus,Cosmetics,M,2010-01-06,2010-02-03,437.2,263.33,1302418.8,784460.07,517958.73,173.87,28 days,28,2010,Offline
Europe,Montenegro,Cereal,M,2010-06-06,2010-07-01,205.7,117.11,1571959.4,894954.62,677004.78,88.58999999999999,25 days,25,2010,Online
Europe,Slovenia,Personal Care,C,2010-06-06,2010-06-27,81.73,56.67,314742.23,218236.17,96506.06,25.06,21 days,21,2010,Offline
Europe,Bosnia and Herzegovina,Personal Care,L,2010-02-07,2010-03-18,81.73,56.67,551023.66,382069.14,168954.52,25.06,39 days,39,2010,Online
Europe,Luxembourg,Snacks,H,2010-09-07,2010-09-23,152.58,97.44,354901.08,226645.44,128255.64,55.140000000000015,16 days,16,2010,Offline
Europe,United Kingdom,Vegetables,L,2010-09-07,2010-09-26,154.06,90.93,732863.42,432554.01,300309.41,63.13,19 days,19,2010,Online
Europe,Germany,Clothes,L,2010-11-07,2010-12-02,109.28,35.84,1081325.6,354636.8,726688.8,73.44,25 days,25,2010,Offline
Europe,Belarus,Beverages,H,2010-03-08,2010-03-22,47.45,31.79,137984.6,92445.32,45539.28,15.660000000000004,14 days,14,2010,Online
Europe,Netherlands,Personal Care,H,2010-05-08,2010-06-03,81.73,56.67,248867.85,172560.15,76307.7,25.06,26 days,26,2010,Offline
Europe,Cyprus,Vegetables,M,2010-12-08,2010-12-11,154.06,90.93,904178.14,533668.17,370509.97,63.13,3 days,3,2010,Online
Europe,Croatia,Office Supplies,H,2010-06-09,2010-06-18,651.21,524.96,991141.62,798989.12,192152.5,126.25,9 days,9,2010,Offline
Europe,Russia,Clothes,L,2010-07-09,2010-07-09,109.28,35.84,981334.4,321843.2,659491.2,73.44,0 days,0,2010,Online
Europe,Malta,Household,H,2010-09-09,2010-09-13,668.27,502.54,2046242.74,1538777.48,507465.26,165.72999999999996,4 days,4,2010,Offline
Europe,Switzerland,Baby Food,L,2010-09-09,2010-10-23,255.28,159.42,2021307.04,1262287.56,759019.48,95.86,44 days,44,2010,Online
Europe,Netherlands,Meat,M,2010-10-09,2010-11-20,421.89,364.69,1545804.96,1336224.16,209580.8,57.19999999999999,42 days,42,2010,Offline
Europe,Sweden,Household,C,2010-10-09,2010-10-10,668.27,502.54,157043.45,118096.9,38946.55,165.72999999999996,1 days,1,2010,Online
